,Home Odds,Vis Odds,Home Win,Prev Predictions,Current Predictions,Ensemble,Prev Predictions Home Outcome,Prev Predictions Vis Outcome,Current Predictions Home Outcome,Current Predictions Vis Outcome,Ensemble Home Outcome,Ensemble Vis Outcome
87393,2.95,1.43,False,0.5272237,0.5393158,0.53326976,-1.0,0.0,0.0,0.0,0.0,0.0
87394,1.84,2.01,True,0.46790972,0.45028132,0.45909554,0.8400000000000001,0.0,0.0,0.0,0.0,0.0
87395,1.58,2.48,False,0.46440613,0.5541502,0.5092782,-1.0,0.0,0.0,0.0,0.0,0.0
87396,1.84,2.01,True,0.44297117,0.49882826,0.4708997,0.0,-1.0,0.0,0.0,0.0,0.0
87397,1.95,1.89,True,0.49766544,0.5215713,0.50961834,0.95,0.0,0.0,0.0,0.0,0.0
87398,1.84,2.02,True,0.50137097,0.47648484,0.4889279,0.8400000000000001,0.0,0.0,0.0,0.0,0.0
87399,1.84,2.01,True,0.47856343,0.48351648,0.48103994,0.8400000000000001,0.0,0.0,0.0,0.0,0.0
87400,1.82,2.03,False,0.5736946,0.5403321,0.55701333,-1.0,0.0,0.0,0.0,0.0,0.0
87401,2.82,1.46,True,0.5057551,0.50048023,0.5031177,1.8199999999999998,0.0,0.0,0.0,0.0,0.0
87402,2.79,1.47,True,0.49362022,0.52545506,0.50953764,1.79,0.0,0.0,0.0,0.0,0.0
87403,2.03,1.84,True,0.49689275,0.5441922,0.5205425,1.0299999999999998,0.0,0.0,0.0,0.0,0.0
87404,1.51,2.65,False,0.5984181,0.580205,0.5893116,-1.0,0.0,0.0,0.0,0.0,0.0
87405,1.83,2.02,True,0.53804207,0.5416175,0.5398298,0.8300000000000001,0.0,0.0,0.0,0.0,0.0
87406,1.66,2.3,True,0.51137716,0.5544654,0.5329213,0.6599999999999999,0.0,0.0,0.0,0.0,0.0
87407,2.05,1.81,False,0.50575507,0.50048023,0.5031177,-1.0,0.0,0.0,0.0,0.0,0.0
87408,2.58,1.55,True,0.4976655,0.52157146,0.50961846,1.58,0.0,0.0,0.0,0.0,0.0
87409,1.49,2.72,True,0.5984181,0.580205,0.5893116,0.0,0.0,0.0,0.0,0.0,0.0
87410,2.06,1.81,True,0.46440613,0.5541502,0.5092782,1.06,0.0,0.0,0.0,0.0,0.0
87411,1.76,2.13,False,0.47856343,0.48351648,0.48103994,-1.0,0.0,0.0,0.0,0.0,0.0
87412,1.87,1.98,False,0.46790972,0.45028132,0.45909554,-1.0,0.0,0.0,0.0,0.0,0.0
87413,2.01,1.84,True,0.53804207,0.5416175,0.5398298,1.0099999999999998,0.0,0.0,0.0,0.0,0.0
87414,2.39,1.62,False,0.49362022,0.52545506,0.50953764,-1.0,0.0,0.0,0.0,0.0,0.0
87415,2.5,1.57,True,0.50137097,0.47648484,0.4889279,1.5,0.0,0.0,0.0,0.0,0.0
87416,1.74,2.16,True,0.51137716,0.5544654,0.5329213,0.74,0.0,0.0,0.0,0.0,0.0
87417,1.53,2.62,True,0.5736946,0.5403321,0.55701333,0.53,0.0,0.0,0.0,0.0,0.0
87418,2.53,1.56,False,0.5272237,0.5393158,0.53326976,-1.0,0.0,0.0,0.0,0.0,0.0
87419,1.77,2.1,True,0.49689275,0.5441922,0.5205425,0.77,0.0,0.0,0.0,0.0,0.0
87420,1.84,2.02,False,0.44297117,0.49882826,0.4708997,0.0,1.02,0.0,0.0,0.0,0.0
87421,1.54,2.6,False,0.5637565,0.59371734,0.5787369,-1.0,0.0,1.6,-1.0,0.0,0.0
87422,1.71,2.2,False,0.5671019,0.5887566,0.57792926,-1.0,0.0,0.0,0.0,0.0,0.0
87423,1.74,2.15,True,0.53629434,0.5575405,0.54691744,0.74,0.0,0.0,0.0,0.0,0.0
87424,1.75,2.15,True,0.503693,0.49629253,0.49999276,0.75,0.0,0.0,0.0,0.0,0.0
87425,1.92,1.93,True,0.46790972,0.45028132,0.45909554,0.9199999999999999,0.0,0.0,0.0,0.0,0.0
87426,1.62,2.38,True,0.539813,0.5070269,0.52342,0.6200000000000001,0.0,0.0,0.0,0.0,0.0
87427,2.26,1.68,False,0.5057618,0.5433349,0.52454835,-1.0,0.0,0.0,0.0,0.0,0.0
87428,1.74,2.14,True,0.4857209,0.50897115,0.49734604,0.74,0.0,0.0,0.0,0.0,0.0
87429,1.84,2.02,False,0.4686856,0.5551426,0.5119141,-1.0,0.0,0.0,0.0,0.0,0.0
